Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
50,12,5,5,1,Some Random Commen with Id 50
51,12,5,133,5,Some Random Commen with Id 51
52,12,5,69,1,Some Random Commen with Id 52
53,12,5,188,9,Some Random Commen with Id 53
54,12,5,177,3,Some Random Commen with Id 54
55,13,1,167,8,Some Random Commen with Id 55
56,13,1,107,2,Some Random Commen with Id 56
57,13,1,25,2,Some Random Commen with Id 57
58,13,1,11,4,Some Random Commen with Id 58
59,13,1,134,0,Some Random Commen with Id 59
60,13,1,141,5,Some Random Commen with Id 60
61,13,1,82,6,Some Random Commen with Id 61
62,13,1,180,1,Some Random Commen with Id 62
63,13,1,46,5,Some Random Commen with Id 63
64,14,6,186,9,Some Random Commen with Id 64
65,14,6,37,4,Some Random Commen with Id 65
66,14,6,71,2,Some Random Commen with Id 66
67,14,6,34,2,Some Random Commen with Id 67
68,15,7,189,7,Some Random Commen with Id 68
69,15,7,81,0,Some Random Commen with Id 69
70,16,1,57,5,Some Random Commen with Id 70
71,16,1,45,9,Some Random Commen with Id 71
72,16,1,185,1,Some Random Commen with Id 72
73,16,1,118,8,Some Random Commen with Id 73
74,16,1,127,8,Some Random Commen with Id 74
75,16,1,191,0,Some Random Commen with Id 75
76,16,1,90,7,Some Random Commen with Id 76
77,16,1,163,3,Some Random Commen with Id 77
78,16,1,7,7,Some Random Commen with Id 78
79,17,5,196,6,Some Random Commen with Id 79
80,17,5,157,0,Some Random Commen with Id 80
81,17,5,74,7,Some Random Commen with Id 81
82,17,5,64,6,Some Random Commen with Id 82
83,17,5,89,2,Some Random Commen with Id 83
84,17,5,86,3,Some Random Commen with Id 84
85,17,5,19,5,Some Random Commen with Id 85
86,17,5,61,4,Some Random Commen with Id 86
87,18,8,21,0,Some Random Commen with Id 87
88,18,8,53,1,Some Random Commen with Id 88
89,18,8,123,6,Some Random Commen with Id 89
90,18,8,133,2,Some Random Commen with Id 90
91,18,8,63,1,Some Random Commen with Id 91
92,18,8,111,5,Some Random Commen with Id 92
93,19,8,74,8,Some Random Commen with Id 93
94,19,8,122,9,Some Random Commen with Id 94
95,21,4,41,0,Some Random Commen with Id 95
96,21,4,84,5,Some Random Commen with Id 96
97,21,4,122,3,Some Random Commen with Id 97
98,21,4,71,6,Some Random Commen with Id 98
99,21,4,29,6,Some Random Commen with Id 99
100,21,4,15,4,Some Random Commen with Id 100
101,21,4,170,3,Some Random Commen with Id 101
102,21,4,25,3,Some Random Commen with Id 102
103,22,7,88,1,Some Random Commen with Id 103
104,22,7,14,4,Some Random Commen with Id 104
105,22,7,95,2,Some Random Commen with Id 105
106,22,7,163,6,Some Random Commen with Id 106
107,22,7,99,3,Some Random Commen with Id 107
108,22,7,45,3,Some Random Commen with Id 108
109,22,7,134,7,Some Random Commen with Id 109
110,22,7,85,8,Some Random Commen with Id 110
111,24,4,0,3,Some Random Commen with Id 111
112,24,4,69,9,Some Random Commen with Id 112
113,25,5,185,6,Some Random Commen with Id 113
114,27,8,73,6,Some Random Commen with Id 114
115,28,4,25,8,Some Random Commen with Id 115
116,28,4,84,0,Some Random Commen with Id 116
117,28,4,149,1,Some Random Commen with Id 117
118,28,4,55,0,Some Random Commen with Id 118
119,28,4,74,6,Some Random Commen with Id 119
120,28,4,3,0,Some Random Commen with Id 120
121,28,4,14,6,Some Random Commen with Id 121
122,29,6,36,3,Some Random Commen with Id 122
123,29,6,24,3,Some Random Commen with Id 123
124,29,6,165,3,Some Random Commen with Id 124
125,29,6,142,7,Some Random Commen with Id 125
126,29,6,25,9,Some Random Commen with Id 126
127,29,6,111,1,Some Random Commen with Id 127
128,29,6,166,5,Some Random Commen with Id 128
129,30,5,7,2,Some Random Commen with Id 129
130,30,5,169,0,Some Random Commen with Id 130
131,30,5,101,0,Some Random Commen with Id 131
132,30,5,177,2,Some Random Commen with Id 132
133,30,5,91,3,Some Random Commen with Id 133
134,30,5,61,1,Some Random Commen with Id 134
135,30,5,163,2,Some Random Commen with Id 135
136,30,5,6,8,Some Random Commen with Id 136
137,30,5,182,2,Some Random Commen with Id 137
138,31,0,121,3,Some Random Commen with Id 138
139,31,0,54,3,Some Random Commen with Id 139
140,31,0,139,6,Some Random Commen with Id 140
141,31,0,134,3,Some Random Commen with Id 141
142,31,0,66,9,Some Random Commen with Id 142
143,31,0,46,7,Some Random Commen with Id 143
144,31,0,22,4,Some Random Commen with Id 144
145,31,0,109,0,Some Random Commen with Id 145
146,31,0,197,2,Some Random Commen with Id 146
147,32,1,86,6,Some Random Commen with Id 147
148,32,1,24,8,Some Random Commen with Id 148
149,33,1,66,8,Some Random Commen with Id 149
150,33,1,195,0,Some Random Commen with Id 150
151,33,1,114,7,Some Random Commen with Id 151
152,33,1,119,2,Some Random Commen with Id 152
153,33,1,44,7,Some Random Commen with Id 153
154,34,8,199,5,Some Random Commen with Id 154
155,34,8,91,8,Some Random Commen with Id 155
156,34,8,26,7,Some Random Commen with Id 156
157,34,8,9,0,Some Random Commen with Id 157
158,34,8,198,1,Some Random Commen with Id 158
159,34,8,147,2,Some Random Commen with Id 159
160,34,8,118,4,Some Random Commen with Id 160
161,35,8,56,6,Some Random Commen with Id 161
162,35,8,182,2,Some Random Commen with Id 162
163,35,8,112,9,Some Random Commen with Id 163
164,35,8,14,8,Some Random Commen with Id 164
165,35,8,170,9,Some Random Commen with Id 165
166,35,8,117,1,Some Random Commen with Id 166
167,37,2,158,3,Some Random Commen with Id 167
168,37,2,156,1,Some Random Commen with Id 168
169,38,0,29,7,Some Random Commen with Id 169
170,38,0,142,2,Some Random Commen with Id 170
171,38,0,193,9,Some Random Commen with Id 171
172,38,0,128,9,Some Random Commen with Id 172
173,39,0,65,1,Some Random Commen with Id 173
174,39,0,148,8,Some Random Commen with Id 174
175,39,0,170,8,Some Random Commen with Id 175
176,39,0,140,6,Some Random Commen with Id 176
